,title,name,rating,rental_duration,rental_rate,length,replacement_cost,special_features,rental_date
0,Freaky Pocus,Music,R,7,2.99,126,16.99,"['Trailers', 'Behind the Scenes']",2005-05-24 22:54:33
1,Graduate Lord,Children,G,7,2.99,156,14.99,"['Trailers', 'Behind the Scenes']",2005-05-24 23:03:39
2,Love Suicides,Horror,R,6,0.99,181,21.99,"['Trailers', 'Behind the Scenes']",2005-05-24 23:04:41
3,Idols Snatchers,Children,NC-17,5,2.99,84,29.99,['Trailers'],2005-05-24 23:05:21
4,Mystic Truman,Comedy,NC-17,5,0.99,92,19.99,"['Commentaries', 'Behind the Scenes']",2005-05-24 23:08:07
5,Swarm Gold,Horror,PG-13,4,0.99,123,12.99,"['Trailers', 'Commentaries']",2005-05-24 23:11:53
6,Lawless Vision,Animation,G,6,4.99,181,29.99,"['Deleted Scenes', 'Behind the Scenes']",2005-05-24 23:31:46
7,Matrix Snowman,Foreign,PG-13,6,4.99,56,9.99,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-05-25 00:00:40
8,Hanging Deep,Drama,G,5,4.99,62,18.99,"['Trailers', 'Commentaries', 'Deleted Scenes']",2005-05-25 00:02:21
9,Whale Bikini,Foreign,PG-13,4,4.99,109,11.99,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-05-25 00:09:02
10,Games Bowfinger,Travel,PG-13,7,4.99,119,17.99,['Behind the Scenes'],2005-05-25 00:19:27
11,King Evolution,Family,NC-17,3,4.99,184,24.99,"['Trailers', 'Deleted Scenes', 'Behind the Scenes']",2005-05-25 00:22:55
12,Monterey Labyrinth,Horror,G,6,0.99,158,13.99,"['Trailers', 'Commentaries']",2005-05-25 00:31:15
13,Pelican Comforts,Documentary,PG,4,4.99,48,17.99,"['Commentaries', 'Deleted Scenes']",2005-05-25 00:39:22
14,Boogie Amelie,Music,R,6,4.99,121,11.99,"['Commentaries', 'Behind the Scenes']",2005-05-25 00:43:11
15,Contact Anonymous,Travel,PG-13,7,2.99,166,10.99,['Commentaries'],2005-05-25 01:06:36
16,Roman Punk,Music,NC-17,7,0.99,81,28.99,['Trailers'],2005-05-25 01:10:47
17,Hollow Jeopardy,Sci-Fi,NC-17,7,4.99,136,25.99,['Behind the Scenes'],2005-05-25 01:17:24
18,Scissorhands Slums,Foreign,G,5,2.99,147,13.99,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-05-25 01:48:41
19,Apache Divine,Family,NC-17,5,4.99,92,16.99,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-05-25 01:59:46
20,Closer Bang,Comedy,R,5,4.99,58,12.99,"['Trailers', 'Behind the Scenes']",2005-05-25 02:19:23
