,inventory_id,store_id,city,district
0,1525,1.0,Qomsheh,Esfahan
1,1711,1.0,Jaffna,Northern
2,2452,2.0,Baku,Baki
3,2079,2.0,Jaroslavl,Jaroslavl
4,2792,1.0,Santiago de Compostela,Galicia
5,3995,1.0,Salinas,California
6,2346,2.0,Ciomas,West Java
7,2580,1.0,Po,So Paulo
8,1824,1.0,Okara,Punjab
9,4443,1.0,Dundee,Scotland
10,1584,1.0,Tuguegarao,Cagayan Valley
11,2294,2.0,Sumqayit,Sumqayit
12,2701,2.0,Uluberia,West Bengali
13,3049,2.0,San Felipe del Progreso,Mxico
14,389,1.0,Miraj,Maharashtra
15,830,2.0,Cuernavaca,Morelos
16,3376,1.0,Kimberley,Northern Cape
17,1941,2.0,Ziguinchor,Ziguinchor
18,3517,1.0,Shahr-e Kord,Chaharmahal va Bakht
19,146,2.0,Cavite,Southern Tagalog
20,727,1.0,Chapra,Bihar
21,4441,1.0,Kitwe,Copperbelt
22,3273,1.0,Teboksary,Tuvassia
23,3961,1.0,Nanyang,Henan
24,4371,1.0,Cabuyao,Southern Tagalog
25,1225,2.0,Kaliningrad,Kaliningrad
26,4068,2.0,Zaria,Kaduna
27,611,1.0,Lipetsk,Lipetsk
28,3744,1.0,Dzerzinsk,Nizni Novgorod
29,4482,2.0,Jurez,Chihuahua
30,3832,2.0,Botosani,Botosani
31,1681,1.0,Yantai,Shandong
32,2613,1.0,Sullana,Piura
33,1286,1.0,Yinchuan,Ningxia
34,1308,2.0,Cheju,Cheju
35,403,1.0,NDjamna,Chari-Baguirmi
36,2540,1.0,Tiefa,Liaoning
37,4466,1.0,Nuuk,Kitaa
38,2638,2.0,Berhampore (Baharampur),West Bengali
39,1761,2.0,Ocumare del Tuy,Miranda
40,380,1.0,Vinh,Nghe An
41,2578,2.0,Cam Ranh,Khanh Hoa
42,3098,1.0,Nuuk,Kitaa
43,1853,1.0,Vancouver,British Colombia
44,3318,1.0,Kragujevac,Central Serbia
45,2211,2.0,Toulouse,Midi-Pyrnes
46,1780,2.0,Ponce,Ponce
47,2965,1.0,Salala,Zufar
48,1983,2.0,Kaduna,Kaduna
49,1257,2.0,Monywa,Sagaing
50,4017,2.0,Eskisehir,Eskisehir
51,1255,2.0,Leshan,Sichuan
52,2787,1.0,Roanoke,Virginia
53,1139,2.0,Mukateve,Taka-Karpatia
54,1352,1.0,Suihua,Heilongjiang
55,3938,2.0,Laredo,Texas
56,3050,2.0,Cuautla,Morelos
57,2884,1.0,Jaffna,Northern
58,330,1.0,Hodeida,Hodeida
59,4210,2.0,Oyo,Oyo & Osun
60,261,1.0,Katihar,Bihar
61,4008,1.0,Namibe,Namibe
62,79,1.0,Najafabad,Esfahan
63,3552,1.0,Maikop,Adygea
64,1162,2.0,Songkhla,Songkhla
65,239,1.0,Shubra al-Khayma,al-Qalyubiya
66,4029,2.0,Dos Quebradas,Risaralda
67,3207,1.0,Arlington,Texas
68,2168,2.0,Chiayi,Chiayi
69,2408,1.0,Jelets,Lipetsk
70,2260,1.0,Niznekamsk,Tatarstan
71,517,1.0,Izumisano,Osaka
72,1744,2.0,Olomouc,Severn Morava
73,3393,2.0,Kamyin,Volgograd
74,3021,1.0,Sasebo,Nagasaki
75,1303,1.0,El Fuerte,Sinaloa
76,4067,2.0,Pune,Maharashtra
77,3299,1.0,Uijongbu,Kyonggi
78,2478,1.0,Sorocaba,So Paulo
79,2610,1.0,Effon-Alaiye,Oyo & Osun
80,1388,2.0,Guaruj,So Paulo
81,466,2.0,Mukateve,Taka-Karpatia
82,1829,2.0,Kanchrapara,West Bengali
83,470,1.0,Allende,Guanajuato
84,2275,2.0,Salzburg,Salzburg
85,1586,1.0,Santa F,Santa F
86,2221,1.0,Nagareyama,Chiba
87,2181,2.0,Brindisi,Apulia
88,2984,1.0,Shikarpur,Sind
89,139,1.0,Lengshuijiang,Hunan
90,775,1.0,Tiefa,Liaoning
91,4360,1.0,Valle de Santiago,Guanajuato
92,1675,2.0,Changzhou,Jiangsu
93,178,2.0,Dallas,Texas
94,3418,2.0,Jedda,Mekka
95,1283,1.0,Mandaluyong,National Capital Reg
96,2970,1.0,Salinas,California
97,535,1.0,Lipetsk,Lipetsk
98,2599,1.0,Balurghat,West Bengali
99,617,1.0,Bijapur,Karnataka
100,373,1.0,Mexicali,Baja California
101,3343,2.0,Huaian,Jiangsu
102,4281,2.0,Ibirit,Minas Gerais
103,794,1.0,Huixquilucan,Mxico
104,3627,1.0,Mannheim,Baden-Wrttemberg
105,2833,2.0,Trshavn,Streymoyar
106,3289,1.0,Qinhuangdao,Hebei
107,1044,1.0,Ueda,Nagano
108,4108,1.0,Kimberley,Northern Cape
109,3725,1.0,Saarbrcken,Saarland
110,2153,1.0,Madiun,East Java
111,2963,1.0,Zalantun,Inner Mongolia
112,4502,2.0,Pontianak,Kalimantan Barat
113,749,2.0,El Alto,La Paz
114,4453,2.0,Kaduna,Kaduna
115,4278,1.0,Kragujevac,Central Serbia
116,872,1.0,Purwakarta,West Java
117,1359,1.0,Fontana,California
118,37,2.0,Okinawa,Okinawa
119,1053,1.0,Tandil,Buenos Aires
120,2908,2.0,Salamanca,Guanajuato
121,1795,2.0,Faaa,Tahiti
122,212,1.0,Maring,Paran
123,952,1.0,Najafabad,Esfahan
124,2047,2.0,Bergamo,Lombardia
125,2026,1.0,Bislig,Caraga
126,4322,2.0,Nador,Oriental
127,4154,2.0,Liepaja,Liepaja
128,3990,1.0,Papeete,Tahiti
129,815,1.0,Braslia,Distrito Federal
130,3367,1.0,Akron,Ohio
131,399,1.0,Naju,Chollanam
132,2272,2.0,Jaroslavl,Jaroslavl
133,103,2.0,Callao,Callao
134,2296,1.0,Joliet,Illinois
135,2591,1.0,Avellaneda,Buenos Aires
136,4134,1.0,Tsaotun,Nantou
137,327,2.0,Beira,Sofala
138,655,2.0,Santo Andr,So Paulo
139,811,1.0,La Plata,Buenos Aires
140,4407,1.0,Nam Dinh,Nam Ha
141,847,1.0,Ahmadnagar,Maharashtra
142,1689,1.0,Bratislava,Bratislava
143,3905,1.0,Simferopol,Krim
144,1431,1.0,Naala-Porto,Nampula
145,633,1.0,Karnal,Haryana
146,4252,1.0,Dundee,Scotland
147,1084,2.0,San Felipe del Progreso,Mxico
148,909,2.0,Tsuyama,Okayama
149,2942,2.0,Citrus Heights,California
150,2622,2.0,Vaduz,Vaduz
151,3888,2.0,Hsichuh,Taipei
152,1354,1.0,Shahr-e Kord,Chaharmahal va Bakht
153,288,2.0,Alvorada,Rio Grande do Sul
154,3193,2.0,Usolje-Sibirskoje,Irkutsk
155,887,1.0,Nukualofa,Tongatapu
156,2395,2.0,Santo Andr,So Paulo
157,3453,1.0,Talavera,Central Luzon
158,1885,1.0,Valle de la Pascua,Gurico
159,2941,1.0,Compton,California
160,1229,2.0,Patiala,Punjab
161,2306,1.0,Toulon,Provence-Alpes-Cte
162,1070,2.0,Laiwu,Shandong
163,2735,2.0,Alessandria,Piemonte
164,3894,1.0,Baha Blanca,Buenos Aires
165,865,2.0,Koriyama,Fukushima
166,2714,2.0,Ourense (Orense),Galicia
167,1758,2.0,South Hill,
168,3688,1.0,Merlo,Buenos Aires
169,4483,2.0,Dallas,Texas
170,2873,1.0,Skikda,Skikda
171,3596,1.0,Binzhou,Shandong
172,3954,2.0,Haining,Zhejiang
173,4346,1.0,Juazeiro do Norte,Cear
174,851,2.0,Oyo,Oyo & Osun
175,3545,1.0,Tarlac,Central Luzon
176,1489,1.0,Mannheim,Baden-Wrttemberg
177,2575,1.0,Kimberley,Northern Cape
178,2752,2.0,Changhwa,Changhwa
179,2417,1.0,Celaya,Guanajuato
180,4396,1.0,Naju,Chollanam
181,2877,2.0,Poos de Caldas,Minas Gerais
182,1970,2.0,Southport,England
183,2598,1.0,Boksburg,Gauteng
184,1799,1.0,Bijapur,Karnataka
185,4004,1.0,Coquimbo,Coquimbo
186,3342,1.0,San Miguel de Tucumn,Tucumn
187,984,1.0,Coacalco de Berriozbal,Mxico
188,3962,1.0,Binzhou,Shandong
189,4365,2.0,Hoshiarpur,Punjab
190,1897,2.0,La Romana,La Romana
191,3900,1.0,Kalisz,Wielkopolskie
192,1337,2.0,Shimonoseki,Yamaguchi
193,506,2.0,Xintai,Shandong
194,190,1.0,s-Hertogenbosch,Noord-Brabant
195,4212,1.0,Sanya,Hainan
196,1789,1.0,Iwakuni,Yamaguchi
197,2135,1.0,Baybay,Eastern Visayas
198,3926,1.0,Birgunj,Central
199,776,2.0,Tartu,Tartumaa
200,674,2.0,Mardan,Nothwest Border Prov
201,3374,2.0,Klerksdorp,North West
202,1842,1.0,Benguela,Benguela
203,303,2.0,Duisburg,Nordrhein-Westfalen
204,1717,1.0,San Lorenzo,Central
205,102,1.0,Juazeiro do Norte,Cear
206,3669,1.0,Karnal,Haryana
207,729,1.0,Bhavnagar,Gujarat
208,1801,1.0,Izumisano,Osaka
209,4005,1.0,Udaipur,Rajasthan
210,764,1.0,Mysore,Karnataka
211,1505,2.0,Gijn,Asturia
212,1453,1.0,al-Ayn,Abu Dhabi
213,679,2.0,Changzhou,Jiangsu
214,1398,2.0,Bandar Seri Begawan,Brunei and Muara
215,4395,1.0,Etawah,Uttar Pradesh
216,2291,1.0,Brescia,Lombardia
217,3074,1.0,Okayama,Okayama
218,1259,2.0,Pangkal Pinang,Sumatera Selatan
219,3578,1.0,Kilis,Kilis
220,2745,1.0,Springs,Gauteng
221,3121,1.0,Florencia,Caquet
222,4285,1.0,Bydgoszcz,Kujawsko-Pomorskie
223,651,2.0,Cuauhtmoc,Chihuahua
224,4181,1.0,Syrakusa,Sisilia
225,214,2.0,Kaliningrad,Kaliningrad
226,511,2.0,Plock,Mazowieckie
227,1131,2.0,Tabuk,Tabuk
228,1085,1.0,Kuching,Sarawak
229,4032,2.0,Okinawa,Okinawa
230,2945,2.0,Monywa,Sagaing
231,715,2.0,Kuwana,Mie
232,1321,1.0,Tokat,Tokat
233,3537,1.0,Shubra al-Khayma,al-Qalyubiya
234,1265,2.0,Uluberia,West Bengali
235,241,2.0,Tonghae,Kang-won
236,503,1.0,Fuyu,Jilin
237,131,2.0,Jedda,Mekka
238,3420,1.0,Ilorin,Kwara & Kogi
239,4438,1.0,Uijongbu,Kyonggi
240,2095,1.0,Sunnyvale,California
241,1721,1.0,Beni-Mellal,Tadla-Azilal
242,1041,2.0,Beira,Sofala
243,3045,1.0,Greensboro,North Carolina
244,2829,1.0,Iwaki,Fukushima
245,4095,1.0,Ashdod,Ha Darom
246,1913,2.0,Konotop,Sumy
247,2428,1.0,Nam Dinh,Nam Ha
248,368,1.0,Valencia,Carabobo
249,4352,1.0,Usak,Usak
250,1203,2.0,Sumy,Sumy
251,2969,2.0,Dadu,Sind
252,1835,1.0,Nakhon Sawan,Nakhon Sawan
253,3264,2.0,Duisburg,Nordrhein-Westfalen
254,3194,1.0,Vancouver,British Colombia
255,2570,1.0,Tanauan,Southern Tagalog
256,3534,1.0,Siliguri (Shiliguri),West Bengali
257,30,1.0,Coatzacoalcos,Veracruz
258,435,1.0,Tangail,Dhaka
259,1369,1.0,Allende,Guanajuato
260,4261,1.0,Tanza,Southern Tagalog
261,1160,2.0,Sirjan,Kerman
262,2069,2.0,Halle/Saale,Anhalt Sachsen
263,2276,2.0,Sanaa,Sanaa
264,3303,1.0,Mandaluyong,National Capital Reg
265,1206,1.0,al-Qatif,al-Sharqiya
266,1714,2.0,Changhwa,Changhwa
267,3501,1.0,Baha Blanca,Buenos Aires
268,207,2.0,Ashgabat,Ahal
269,2388,2.0,Goinia,Gois
270,971,1.0,Baybay,Eastern Visayas
271,1590,2.0,Kisumu,Nyanza
272,656,2.0,Kursk,Kursk
273,1718,1.0,Torren,Coahuila de Zaragoza
274,1221,1.0,Kuching,Sarawak
275,1409,1.0,Antofagasta,Antofagasta
276,182,1.0,Sunnyvale,California
277,661,2.0,Huaian,Jiangsu
278,1896,2.0,Chandrapur,Maharashtra
279,1208,2.0,Huejutla de Reyes,Hidalgo
280,4486,2.0,Ponce,Ponce
281,3530,1.0,Qinhuangdao,Hebei
282,350,2.0,Almirante Brown,Buenos Aires
283,2486,2.0,Le Mans,Pays de la Loire
284,314,1.0,Cabuyao,Southern Tagalog
285,3631,1.0,Elista,Kalmykia
286,3546,1.0,Simferopol,Krim
287,2449,1.0,Mahajanga,Mahajanga
288,2776,2.0,Tsuyama,Okayama
289,485,2.0,Tanshui,Taipei
290,4264,1.0,Coquimbo,Coquimbo
291,1828,1.0,Greensboro,North Carolina
292,2751,2.0,Jurez,Chihuahua
293,4030,2.0,Cayenne,Cayenne
294,3878,1.0,Bijapur,Karnataka
295,1594,1.0,Niznekamsk,Tatarstan
296,1083,1.0,Florencia,Caquet
297,4376,1.0,Erlangen,Baijeri
298,249,1.0,Juazeiro do Norte,Cear
299,3448,1.0,Karnal,Haryana
300,2921,2.0,Lubumbashi,Shaba
301,1111,1.0,Patras,West Greece
302,1701,1.0,Amroha,Uttar Pradesh
303,2665,1.0,Rancagua,OHiggins
304,2781,1.0,Kanazawa,Ishikawa
305,1097,2.0,Mwene-Ditu,East Kasai
306,187,2.0,Ogbomosho,Oyo & Osun
307,1946,2.0,Halle/Saale,Anhalt Sachsen
308,593,2.0,Deba Habe,Bauchi & Gombe
309,2830,1.0,Witten,Nordrhein-Westfalen
310,2008,1.0,Kilis,Kilis
311,4156,1.0,Jining,Inner Mongolia
312,2851,1.0,Gorontalo,Sulawesi Utara
313,2847,1.0,Shimoga,Karnataka
314,3828,2.0,Tianjin,Tianjin
315,26,1.0,Izumisano,Osaka
316,2559,1.0,Jaipur,Rajasthan
317,3024,2.0,Araatuba,So Paulo
318,1090,1.0,San Bernardino,California
319,4556,2.0,Rizhao,Shandong
320,2362,1.0,Molodetno,Minsk
321,3364,2.0,Sharja,Sharja
322,2510,2.0,Sirjan,Kerman
323,3979,1.0,Newcastle,KwaZulu-Natal
324,2678,1.0,Funafuti,Funafuti
325,2524,1.0,El Fuerte,Sinaloa
326,2659,1.0,Uttarpara-Kotrung,West Bengali
327,1536,1.0,Tallahassee,Florida
328,1872,1.0,Xiangtan,Hunan
329,1529,2.0,Hiroshima,Hiroshima
330,4001,2.0,Hoshiarpur,Punjab
331,3973,2.0,Hino,Tokyo-to
332,1411,2.0,Southend-on-Sea,England
333,1811,2.0,Peoria,Illinois
334,751,1.0,Kimberley,Northern Cape
335,2596,2.0,Hami,Xinxiang
336,2410,2.0,Battambang,Battambang
337,946,2.0,Bhilwara,Rajasthan
338,4168,1.0,Papeete,Tahiti
339,4019,1.0,Valencia,Carabobo
340,3301,2.0,El Alto,La Paz
341,2327,1.0,Tanza,Southern Tagalog
342,1396,1.0,Molodetno,Minsk
343,4319,2.0,Citrus Heights,California
344,1625,1.0,Shenzhen,Guangdong
345,1825,2.0,Lhokseumawe,Aceh
346,2920,2.0,Arak,Markazi
347,2756,2.0,Masqat,Masqat
348,3371,1.0,Grand Prairie,Texas
349,4369,2.0,Pyongyang,Pyongyang-si
350,3989,1.0,Ueda,Nagano
351,2058,1.0,Abu Dhabi,Abu Dhabi
352,141,2.0,Uluberia,West Bengali
353,2868,2.0,Manchester,New Hampshire
354,4417,2.0,Ikerre,Ondo & Ekiti
355,1925,1.0,Ashdod,Ha Darom
356,1156,1.0,Nagaon,Assam
